CODE,Low Frequency,High Frequency,Combined Total,SP22,FA22,SP23,FA23,SP24,FA24,SP25,FA25
CLB-CMR,55,69,124,8,5,6,4,12,8,60,21
CLB-COP,114,160,274,40,26,21,31,49,36,53,18
CLB-DEL,16,15,31,3,0,2,1,3,3,11,8
CLB-MNG,116,151,267,34,22,24,25,49,45,46,22
CLB-TSK,1,0,1,0,0,0,0,0,0,0,1
CLB_COP,1,0,1,0,0,1,0,0,0,0,0
COM-CLR,61,90,151,9,9,7,7,21,22,57,19
COM-EFF,79,122,201,9,22,17,14,26,19,52,42
COM-PSR,37,45,82,5,5,7,7,9,7,29,13
CTR-DCT,1,5,6,0,1,0,1,1,1,2,0
CTR-LWF,4,10,14,1,2,2,1,0,1,5,2
DEF-IRR,11,25,36,5,4,7,2,2,3,7,6
DEF-ISO,9,14,23,6,5,0,4,3,3,2,0
DEF-SLO,52,51,103,19,17,19,15,8,16,6,3
DEV-NRL,8,10,18,2,1,2,4,2,4,1,2
DEV-VCM,5,2,7,1,0,0,0,3,0,3,0
INT-AWR,25,46,71,2,1,3,1,6,1,42,15
INT-BND,4,5,9,1,1,0,1,0,1,3,2
INT-ENC,18,25,43,3,7,3,5,6,3,10,6
INT-GRP,204,274,478,71,62,58,60,79,73,75,0
INT-OTH,61,101,162,18,22,20,16,26,24,25,11
INT-PAT,11,19,30,4,2,2,2,2,5,9,4
INT-PER,18,23,41,2,3,4,2,5,2,15,8
INT-VUL,15,21,36,3,2,5,3,1,3,10,9
INT_AWR,0,2,2,0,0,2,0,0,0,0,0
INT_GRP,2,0,2,0,0,2,0,0,0,0,0
PRO-ADP,14,32,46,4,4,4,4,4,7,13,6
PRO-GOL,56,76,132,21,18,19,17,26,20,7,4
PRO-GRP,12,13,25,0,0,0,0,0,0,0,25
PRO-STR,62,88,150,14,11,15,16,20,31,31,12
SEF-DTR,4,5,9,0,2,1,1,0,3,0,2
SEF-FLW,6,5,11,1,0,3,2,1,2,0,2
SEF-LCK,3,4,7,2,1,1,1,0,0,0,2
SEF_LCK,0,1,1,0,0,0,0,1,0,0,0
